"Zaman damgası","Yaşınız nedir?","Cinsiyetiniz nedir?","Eğitim durumunuz nedir?","Bulunduğunuz bölge hangisidir?","Çalışma durumunuz nedir?","Aylık gelir düzeyiniz nedir?","STK’ların toplum üzerindeki etkisini nasıl değerlendiriyorsunuz?","STK’ların finansman sağlama konusunda en büyük zorluğu nedir?","STK’ların gücünü arttırmak için hangi stratejiler izlenmeli?","Topluma fayda sağlamak adına STK'ların etkisini nasıl görüyorsunuz?","STK’lar gençlerin ilgisini çekmek için ne yapmalı?","Toplumun STK’lara olan güvenini nasıl değerlendiriyorsunuz?","STK'ların kurumsal firmalarla ortak projeler yürütmesini destekliyor musunuz?","STK'ların uluslararası iş birlikleri hakkında ne düşünüyorsunuz?","STK'ların toplumsal bilinç oluşturma konusunda başarısı nedir?","Sizce STK'lar hangi alanlarda daha fazla faaliyet göstermeli?","STK'ların bağımsız ve tarafsız olması gerektiğine inanıyor musunuz?","STK'ların devlet desteklerinden faydalanması hakkında düşünceniz nedir?","STK’ların dijital dünyada daha fazla yer alması gerektiğini düşünüyor musunuz?","Bir STK’ya destek vermeyi tercih ettiğiniz yöntemler hangileridir?","Gönüllü olarak çalışmayı tercih etmenizde aşağıdakilerden hangisi en etkili faktör olur?","Kanser ile mücadele eden bu kuruluşlardan hangilerini tanıyorsunuz?","KİTVAK'ı daha önce duymuş muydunuz?","Bir önceki soruya ""Evet"" cevabını verdiyseniz KİTVAK'ı nereden duydunuz?","KİTVAK’ın logosunu daha önce gördünüz mü?","KİTVAK’ın logosunu gördüğünüzde size ne ifade ediyor?","Sizce bu logo KİTVAK'ın amacını doğrudan aktarıyor mu?","Sizce KİTVAK’ın logosu yenilenmeli mi?","Siz olsaydınız KİTVAK Derneğinin logosunda hangi sembollerin olmasını daha doğru bulurdunuz?"
"2024/12/05 3:54:07 ÖS GMT+3","18-24","Kadın","Üniversite","Ege","Öğrenci","0-5.000 TL","Az etkili","Devlet desteği azlığı","Esnek gönüllü seçenekleri sunmalı","Az etkili","Etkinlik düzenlenmeli","Az güveniyor","Evet","Önemli","Orta düzeyde","Çevre;İnsan hakları","Kararsızım","Tamamen destekliyorum","Evet","Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Mesleki deneyim kazanma","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 4:01:54 ÖS GMT+3","25-34","Kadın","Yüksek Lisans","Ege","Çalışıyorum","30.000 TL ve üzeri","Orta düzeyde","Devlet desteği azlığı","Gönüllüleri tanıtmalı ve motive etmeli","Etkili","Etkinlik düzenlenmeli","Orta seviyede","Evet","Çok önemli","Orta düzeyde","Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Maddi bağış;Gönüllü olarak çalışmak;Etkinliklere katılmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı)","Evet","Hastaneler veya sağlık kuruluşları","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 4:04:03 ÖS GMT+3","25-34","Erkek","Üniversite","Ege","Personel trainer","30.000 TL ve üzeri","Az etkili","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;Öğrenci liderliğindeki girişimleri kolaylaştırmalı;Eğitim ortaklıkları geliştirilmeli","Etkili","Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Hiç güvenmiyor","Kararsızım","Çok önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Etkinliklere katılmak;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Hiçbir şey çağrıştırmıyor","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kesinlikle evet","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
"2024/12/05 4:10:03 ÖS GMT+3","25-34","Kadın","Yüksek Lisans","Ege","Çalışıyorum","30.000 TL ve üzeri","Orta düzeyde","Yönetim sorunları","İş birliği artırma;Liderliği ve yeniliği teşvik etmeli;Gönüllüleri tanıtmalı ve motive etmeli","Orta düzeyde","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Liderliği ve yeniliği teşvik etmeli;Esnek gönüllü seçenekleri sunulmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Az güveniyor","Kararsızım","Çok önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Evet","Maddi bağış;Sosyal medyada paylaşım yapmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);Kanser Savaşçıları Derneği;TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Evet","Hastaneler veya sağlık kuruluşları","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 4:45:22 ÖS GMT+3","18-24","Erkek","Üniversite","Ege","Öğrenci","30.000 TL ve üzeri","Az etkili","Kaynak yetersizliği","Dijital katılımı iyileştirilmeli","Etkili","Kampüs varlığı güçlendirilmeli","Az güveniyor","Kararsızım","Orta düzeyde","Başarısız","Eğitim","Evet","Desteklemiyorum","Kesinlikle evet","Maddi bağış","Kişisel gelişim","Türk Kanser Derneği","Evet","Sosyal medya (Instagram, Facebook, Twitter, LinkedIn vb.)","Evet, ama nerede gördüğümü hatırlamıyorum.","Hiçbir şey çağrıştırmıyor","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Evet","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
"2024/12/05 4:45:25 ÖS GMT+3","18-24","Kadın","Üniversite","Ege","Öğrenci","10.000-20.000 TL","Orta düzeyde","Yönetim sorunları","İş birliği artırma;Eğitim ortaklıkları geliştirilmeli;Gönüllüleri tanıtmalı ve motive etmeli","Etkili","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Esnek gönüllü seçenekleri sunulmalı","Güveniyor","Evet","Önemli","Başarılı","Çevre;Eğitim;Sağlık","Hayır","Kısmen destekliyorum","Evet","Maddi bağış;Gönüllü olarak çalışmak;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);Kanser Savaşçıları Derneği","Evet","Sosyal medya (Instagram, Facebook, Twitter, LinkedIn vb.)","Evet, hatırlıyorum ve tanıyorum.","Güven ve profesyonellik","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","Bir ev veya çatı figürü (barınma, destek vurgusu ve KİTVAK’ın konukevi projelerine atıfta bulunur)."
"2024/12/05 4:53:00 ÖS GMT+3","25-34","Erkek","Üniversite","Ege","Öğrenci","20.000-30.000 TL","Az etkili","Devlet desteği azlığı","Öğrenci liderliğindeki girişimleri kolaylaştırmalı","Az etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Az güveniyor","Evet","Çok önemli","Çok başarısız","İnsan hakları","Evet","Kısmen destekliyorum","Evet","Sosyal medyada paylaşım yapmak","Kişisel gelişim","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;Kanser Savaşçıları Derneği;TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 4:58:23 ÖS GMT+3","25-34","Erkek","Üniversite","Ege","Çalışıyorum","20.000-30.000 TL","Orta düzeyde","Devlet desteği azlığı","Eğitim ortaklıkları geliştirilmeli","Orta düzeyde","Sosyal medyada daha aktif olunmalı","Orta seviyede","Evet","Çok önemli","Orta düzeyde","İnsan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Bilgi paylaşımı veya önerilerde bulunmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 5:05:11 ÖS GMT+3","25-34","Erkek","Üniversite","Marmara","Çalışıyorum","30.000 TL ve üzeri","Orta düzeyde","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma","Orta düzeyde","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı","Orta seviyede","Evet","Önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Maddi bağış","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;Kanser Savaşçıları Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Kararsızım","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 5:35:39 ÖS GMT+3","18-24","Erkek","Üniversite","Ege","Çalışıyorum","5.000-10.000 TL","Orta düzeyde","Devlet desteği azlığı","Dijital katılımı iyileştirilmeli","Orta düzeyde","Eğitim ortaklıkları geliştirilmeli","Güveniyor","Evet","Önemli","Orta düzeyde","Sağlık","Evet","Kısmen destekliyorum","Kararsızım","Etkinliklere katılmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Evet, ama nerede gördüğümü hatırlamıyorum.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Kararsızım","Açan Çiçek (KİTVAK'ın hastalara sunduğu umut ve iyileşme sürecini vurgular)."
"2024/12/05 5:36:58 ÖS GMT+3","45-54","Kadın","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Çok etkili","Kaynak yetersizliği","Daha fazla reklam ve tanıtım yapmalı;Dijital katılımı iyileştirilmeli;Gönüllüleri tanıtmalı ve motive etmeli;","Orta düzeyde","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Esnek gönüllü seçenekleri sunulmalı;Etkinlik düzenlenmeli;","Orta seviyede","Evet","Önemli","Başarılı","Çevre;Eğitim","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Gönüllü olarak çalışmak;Etkinliklere katılmak;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak;","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı)","Evet","Aileden, arkadaşlardan veya tanıdıklardan","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 5:39:09 ÖS GMT+3","18-24","Erkek","Üniversite","Ege","Öğrenci","0-5.000 TL","Az etkili","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma","Hiç etkili değil","Dijital katılım iyileştirilmeli;Eğitim ortaklıkları geliştirilmeli;Sosyal medyada daha aktif olunmalı","Orta seviyede","Kararsızım","Önemli","Orta düzeyde","Çevre;Eğitim;Sağlık","Evet","Kısmen destekliyorum","Evet","hiç destek vermeyi düşünmedim","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Sağlık ve şifa","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 6:19:27 ÖS GMT+3","25-34","Kadın","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Orta düzeyde","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma","Az etkili","Liderliği ve yeniliği teşvik etmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Orta seviyede","Evet","Çok önemli","Orta düzeyde","Eğitim;Sağlık;İnsan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Gönüllü olarak çalışmak;Etkinliklere katılmak;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Mesleki deneyim kazanma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı)","Evet","Aileden, arkadaşlardan veya tanıdıklardan","Evet, ama nerede gördüğümü hatırlamıyorum.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 6:23:07 ÖS GMT+3","18-24","Erkek","Lise","Marmara","Medya","20.000-30.000 TL","Orta düzeyde","Bağış eksikliği","Daha fazla reklam ve tanıtım yapmalı;Kampüs varlığı güçlendirilmeli;Esnek gönüllü seçenekleri sunmalı","Etkili","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Kampüs varlığı güçlendirilmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Güveniyor","Evet","Önemli","Orta düzeyde","Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Hayır","Kısmen destekliyorum","Evet","Maddi bağış","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
"2024/12/05 6:30:57 ÖS GMT+3","25-34","Erkek","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Etkili","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Dijital katılımı iyileştirilmeli;Öğrenci liderliğindeki girişimleri kolaylaştırmalı","Çok etkili","Dijital katılım iyileştirilmeli;Kampüs varlığı güçlendirilmeli;Gençlik programları oluşturulmalı","Orta seviyede","Evet","Önemli","Başarılı","Eğitim;Sağlık;İnsan hakları","Kararsızım","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Gönüllü olarak çalışmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kesinlikle evet","Açan Çiçek (KİTVAK'ın hastalara sunduğu umut ve iyileşme sürecini vurgular)."
"2024/12/05 7:32:15 ÖS GMT+3","18-24","Kadın","Üniversite","Ege","Öğrenci","5.000-10.000 TL","Orta düzeyde","Yönetim sorunları","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Dijital katılımı iyileştirilmeli;Öğrenci liderliğindeki girişimleri kolaylaştırmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Liderliği ve yeniliği teşvik etmeli;Gönüllüleri tanıtmalı ve motive etmeli;Esnek gönüllü seçenekleri sunmalı","Orta düzeyde","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Az güveniyor","Evet","Çok önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Kesinlikle evet","Maddi bağış;Gönüllü olarak çalışmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı)","Evet","Hastaneler veya sağlık kuruluşları","Evet, ama nerede gördüğümü hatırlamıyorum.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
"2024/12/05 9:57:10 ÖS GMT+3","18-24","Kadın","Üniversite","Marmara","Çalışıyorum","30.000 TL ve üzeri","Az etkili","Devlet desteği azlığı","Eğitim ortaklıkları geliştirilmeli","Orta düzeyde","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli","Az güveniyor","Evet","Önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Gönüllü olarak çalışmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 10:37:43 ÖS GMT+3","25-34","Erkek","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Etkili","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı","Çok etkili","Dijital katılım iyileştirilmeli","Çok güveniyor","Evet","Çok önemli","Çok başarılı","Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Sosyal medyada paylaşım yapmak","Yardım etme isteği","Türk Kanser Derneği","Evet","Sosyal medya (Instagram, Facebook, Twitter, LinkedIn vb.)","Evet, hatırlıyorum ve tanıyorum.","Eğitim ve farkındalık","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Kesinlikle evet","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/06 12:15:55 ÖÖ GMT+3","35-44","Erkek","Üniversite","İç Anadolu","Çalışıyorum","30.000 TL ve üzeri","Az etkili","Yönetim sorunları","Liderliği ve yeniliği teşvik etmeli","Az etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Liderliği ve yeniliği teşvik etmeli;Esnek gönüllü seçenekleri sunulmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Hiç güvenmiyor","Evet","Önemli","Başarısız","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Sağlık ve şifa","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/06 8:06:58 ÖÖ GMT+3","25-34","Erkek","Yüksek Lisans","Ege","EGM","30.000 TL ve üzeri","Etkili","Bağış eksikliği","İş birliği artırma;Dijital katılımı iyileştirilmeli;Gönüllüleri tanıtmalı ve motive etmeli;Esnek gönüllü seçenekleri sunmalı","Etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Gençlik programları oluşturulmalı","Orta seviyede","Evet","Önemli","Orta düzeyde","Eğitim;Sağlık","Evet","Tamamen destekliyorum","Evet","Maddi bağış;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kesinlikle evet","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
"2024/12/06 12:52:14 ÖS GMT+3","25-34","Erkek","Üniversite","Marmara","Çalışıyorum","30.000 TL ve üzeri","Az etkili","Devlet desteği azlığı","İş birliği artırma;Eğitim ortaklıkları geliştirilmeli","Orta düzeyde","Dijital katılım iyileştirilmeli;Kampüs varlığı güçlendirilmeli;Gençlik programları oluşturulmalı","Orta seviyede","Evet","Önemli","Başarısız","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Gönüllü olarak çalışmak;Etkinliklere katılmak;Bilgi paylaşımı veya önerilerde bulunmak","Sosyal çevre oluşturma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği;TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/06 1:04:28 ÖS GMT+3","45-54","Kadın","Üniversite","Ege","Çalışmıyorum","10.000-20.000 TL","Hiç etkili değil","Yönetim sorunları","Daha fazla reklam ve tanıtım yapmalı","Az etkili","Öğrenci liderliğindeki girişimler kolaylaştırılmalı","Az güveniyor","Evet","Az önemli","Başarısız","İnsan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
