"Zaman damgası","Yaşınız nedir?","Cinsiyetiniz nedir?","Eğitim durumunuz nedir?","Bulunduğunuz bölge hangisidir?","Çalışma durumunuz nedir?","Aylık gelir düzeyiniz nedir?","STK’ların toplum üzerindeki etkisini nasıl değerlendiriyorsunuz?","STK’ların finansman sağlama konusunda en büyük zorluğu nedir?","STK’ların gücünü arttırmak için hangi stratejiler izlenmeli?","Topluma fayda sağlamak adına STK'ların etkisini nasıl görüyorsunuz?","STK’lar gençlerin ilgisini çekmek için ne yapmalı?","Toplumun STK’lara olan güvenini nasıl değerlendiriyorsunuz?","STK'ların kurumsal firmalarla ortak projeler yürütmesini destekliyor musunuz?","STK'ların uluslararası iş birlikleri hakkında ne düşünüyorsunuz?","STK'ların toplumsal bilinç oluşturma konusunda başarısı nedir?","Sizce STK'lar hangi alanlarda daha fazla faaliyet göstermeli?","STK'ların bağımsız ve tarafsız olması gerektiğine inanıyor musunuz?","STK'ların devlet desteklerinden faydalanması hakkında düşünceniz nedir?","STK’ların dijital dünyada daha fazla yer alması gerektiğini düşünüyor musunuz?","Bir STK’ya destek vermeyi tercih ettiğiniz yöntemler hangileridir?","Gönüllü olarak çalışmayı tercih etmenizde aşağıdakilerden hangisi en etkili faktör olur?","Kanser ile mücadele eden bu kuruluşlardan hangilerini tanıyorsunuz?","KİTVAK'ı daha önce duymuş muydunuz?","Bir önceki soruya ""Evet"" cevabını verdiyseniz KİTVAK'ı nereden duydunuz?","KİTVAK’ın logosunu daha önce gördünüz mü?","KİTVAK’ın logosunu gördüğünüzde size ne ifade ediyor?","Sizce bu logo KİTVAK'ın amacını doğrudan aktarıyor mu?","Sizce KİTVAK’ın logosu yenilenmeli mi?","Siz olsaydınız KİTVAK Derneğinin logosunda hangi sembollerin olmasını daha doğru bulurdunuz?"
"2024/12/06 2:21:22 ÖS GMT+3","55 ve üzeri","Kadın","Ortaokul","Ege","Emekli","5.000-10.000 TL","Orta düzeyde","Devlet desteği azlığı","Öğrenci liderliğindeki girişimleri kolaylaştırmalı;Gönüllüleri tanıtmalı ve motive etmeli","Orta düzeyde","Liderliği ve yeniliği teşvik etmeli;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Az güveniyor","Evet","Önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Evet, ama nerede gördüğümü hatırlamıyorum.","Güven ve profesyonellik","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Kararsızım","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
"2024/12/06 2:40:33 ÖS GMT+3","45-54","Kadın","Lise","Ege","Emekli","30.000 TL ve üzeri","Orta düzeyde","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Dijital katılımı iyileştirilmeli;Gönüllüleri tanıtmalı ve motive etmeli","Etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Liderliği ve yeniliği teşvik etmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Orta seviyede","Evet","Orta düzeyde","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Kararsızım","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Etkinliklere katılmak;Sosyal medyada paylaşım yapmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Evet","Aileden, arkadaşlardan veya tanıdıklardan","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Bir ev veya çatı figürü (barınma, destek vurgusu ve KİTVAK’ın konukevi projelerine atıfta bulunur)."
"2024/12/06 5:33:50 ÖS GMT+3","35-44","Kadın","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Az etkili","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;Eğitim ortaklıkları geliştirilmeli;Esnek gönüllü seçenekleri sunmalı","Az etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Orta seviyede","Kararsızım","Çok önemli","Orta düzeyde","Çevre;Eğitim;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);Kanser Savaşçıları Derneği","Evet","Televizyon veya radyo programı","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/06 5:39:51 ÖS GMT+3","25-34","Erkek","Yüksek Lisans","Marmara","Çalışıyorum","30.000 TL ve üzeri","Hiç etkili değil","Bilgim yok","Bilgim yok","Az etkili","Bilgim yok","Az güveniyor","Kararsızım","Önemli","Başarısız","Eğitim;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Kararsızım","Bilgim yok","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kararsızım","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/06 6:44:53 ÖS GMT+3","25-34","Erkek","Üniversite","Marmara","Çalışıyorum","30.000 TL ve üzeri","Orta düzeyde","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Eğitim ortaklıkları geliştirilmeli","Orta düzeyde","Dijital katılım iyileştirilmeli;Kampüs varlığı güçlendirilmeli;Sosyal medyada daha aktif olunmalı","Orta seviyede","Kararsızım","Orta düzeyde","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları","Hayır","Kararsızım","Kararsızım","Etkinliklere katılmak","Kişisel gelişim","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Sağlık ve şifa","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/06 9:54:42 ÖS GMT+3","45-54","Kadın","Yüksek Lisans","Ege","Sağlık","30.000 TL ve üzeri","Orta düzeyde","Bağış eksikliği","İş birliği artırma;Eğitim ortaklıkları geliştirilmeli","Orta düzeyde","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Liderliği ve yeniliği teşvik etmeli","Orta seviyede","Evet","Önemli","Orta düzeyde","Çevre;Eğitim;İnsan hakları","Evet","Kısmen destekliyorum","Evet","Maddi bağış;Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Evet","Hastaneler veya sağlık kuruluşları","Evet, ama nerede gördüğümü hatırlamıyorum.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","Bir ev veya çatı figürü (barınma, destek vurgusu ve KİTVAK’ın konukevi projelerine atıfta bulunur)."
"2024/12/07 12:27:36 ÖÖ GMT+3","55 ve üzeri","Kadın","Yüksek Lisans","Ege","Çalışıyorum","30.000 TL ve üzeri","Etkili","Devlet desteği azlığı","İş birliği artırma;Eğitim ortaklıkları geliştirilmeli;Gönüllüleri tanıtmalı ve motive etmeli;Esnek gönüllü seçenekleri sunmalı","Etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Güveniyor","Evet","Çok önemli","Başarılı","Çevre;Eğitim;Sağlık;İnsan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Gönüllü olarak çalışmak;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;Kanser Savaşçıları Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/07 1:04:59 ÖÖ GMT+3","25-34","Erkek","Üniversite","Karadeniz","Çalışıyorum","30.000 TL ve üzeri","Etkili","Bağış eksikliği","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Dijital katılımı iyileştirilmeli;Öğrenci liderliğindeki girişimleri kolaylaştırmalı","Etkili","Dijital katılım iyileştirilmeli;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Orta seviyede","Evet","Çok önemli","Başarılı","Çevre;Eğitim","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/07 1:01:29 ÖS GMT+3","25-34","Erkek","Üniversite","Ege","Çalışıyorum","20.000-30.000 TL","Orta düzeyde","Yönetim sorunları","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Dijital katılımı iyileştirilmeli","Az etkili","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Kampüs varlığı güçlendirilmeli;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Az güveniyor","Evet","Önemli","Başarılı","Eğitim;Sağlık","Evet","Kısmen destekliyorum","Kesinlikle evet","Maddi bağış;Sosyal medyada paylaşım yapmak","Sosyal çevre oluşturma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/07 1:59:24 ÖS GMT+3","25-34","Erkek","Üniversite","Karadeniz","Çalışıyorum","30.000 TL ve üzeri","Orta düzeyde","Kaynak yetersizliği","Öğrenci liderliğindeki girişimleri kolaylaştırmalı","Etkili","Dijital katılım iyileştirilmeli","Güveniyor","Evet","Çok önemli","Başarılı","Hayvan hakları","Evet","Tamamen destekliyorum","Evet","Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/08 4:45:35 ÖS GMT+3","25-34","Erkek","Lise","Ege","Çalışıyorum","20.000-30.000 TL","Çok etkili","Bağış eksikliği","Daha fazla reklam ve tanıtım yapmalı","Çok etkili","Dijital katılım iyileştirilmeli","Çok güveniyor","Evet","Çok önemli","Başarılı","Çevre;Eğitim","Evet","Tamamen destekliyorum","Evet","Maddi bağış;Gönüllü olarak çalışmak","Kişisel gelişim","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Sosyal medya (Instagram, Facebook, Twitter, LinkedIn vb.)","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Kararsızım","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/09 1:46:20 ÖS GMT+3","35-44","Kadın","Doktora","Akdeniz","Emekli","30.000 TL ve üzeri","Az etkili","Kaynak yetersizliği","İş birliği artırma;Eğitim ortaklıkları geliştirilmeli;Liderliği ve yeniliği teşvik etmeli","Orta düzeyde","Eğitim ortaklıkları geliştirilmeli;Sosyal medyada daha aktif olunmalı","Az güveniyor","Evet","Çok önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Kesinlikle evet","Sosyal medyada paylaşım yapmak","Sosyal çevre oluşturma","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/09 9:37:56 ÖS GMT+3","35-44","Kadın","Lise","Ege","Çalışmıyorum","10.000-20.000 TL","Orta düzeyde","Yönetim sorunları","Kampüs varlığı güçlendirilmeli","Orta düzeyde","Öğrenci liderliğindeki girişimler kolaylaştırılmalı","Güveniyor","Evet","Çok önemli","Orta düzeyde","Eğitim;Sağlık","Kararsızım","Kararsızım","Evet","Etkinliklere katılmak","Mesleki deneyim kazanma","LÖSEV (Lösemili Çocuklar Vakfı);KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Evet","Üniversiteler veya eğitim kurumları","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Hayır","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/09 9:39:57 ÖS GMT+3","45-54","Kadın","Üniversite","Ege","Emekli","30.000 TL ve üzeri","Hiç etkili değil","Yönetim sorunları","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Dijital katılımı iyileştirilmeli;Öğrenci liderliğindeki girişimleri kolaylaştırmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Liderliği ve yeniliği teşvik etmeli;Gönüllüleri tanıtmalı ve motive etmeli;Esnek gönüllü seçenekleri sunmalı","Az etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Liderliği ve yeniliği teşvik etmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Hiç güvenmiyor","Evet","Çok önemli","Çok başarısız","Eğitim;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Gönüllü olarak çalışmak;Etkinliklere katılmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı)","Evet","KİTVAK'ın düzenlediği etkinlikler (bağış kampanyaları, farkındalık günleri, sosyal sorumluluk projeleri)","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kesinlikle evet","Açan Çiçek (KİTVAK'ın hastalara sunduğu umut ve iyileşme sürecini vurgular)."
"2024/12/09 10:13:41 ÖS GMT+3","45-54","Kadın","Üniversite","Ege","Ilac firm paz şefi ","20.000-30.000 TL","Etkili","Devlet desteği azlığı","İş birliği artırma;Dijital katılımı iyileştirilmeli;Eğitim ortaklıkları geliştirilmeli;Gönüllüleri tanıtmalı ve motive etmeli;Esnek gönüllü seçenekleri sunmalı","Çok etkili","Dijital katılım iyileştirilmeli;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Güveniyor","Kararsızım","Çok önemli","Başarılı","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Maddi bağış;Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi);Hasta cocuk evleri Türgök Behcet Uz Vakfı Ucim","Evet","KİTVAK'ın düzenlediği etkinlikler (bağış kampanyaları, farkındalık günleri, sosyal sorumluluk projeleri)","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Kararsızım","Açan Çiçek (KİTVAK'ın hastalara sunduğu umut ve iyileşme sürecini vurgular)."
"2024/12/10 8:35:16 ÖÖ GMT+3","35-44","Kadın","Lise","Ege","Çalışmıyorum","10.000-20.000 TL","Orta düzeyde","Devlet desteği azlığı","İş birliği artırma","Orta düzeyde","Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Az güveniyor","Evet","Çok önemli","Orta düzeyde","Eğitim;İnsan hakları","Evet","Tamamen destekliyorum","Evet","Gönüllü olarak çalışmak;Sosyal medyada paylaşım yapmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Evet","Aileden, arkadaşlardan veya tanıdıklardan","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
"2024/12/10 8:55:08 ÖÖ GMT+3","45-54","Kadın","Lise","Ege","Emekli","10.000-20.000 TL","Etkili","Bağış eksikliği","Daha fazla reklam ve tanıtım yapmalı","Etkili","Dijital katılım iyileştirilmeli","Güveniyor","Evet","Önemli","Başarılı","Eğitim","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Etkinliklere katılmak;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kesinlikle evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/10 6:25:48 ÖS GMT+3","55 ve üzeri","Kadın","Ortaokul","İç Anadolu","Emekli","10.000-20.000 TL","Orta düzeyde","Bağış eksikliği","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Dijital katılımı iyileştirilmeli;Gönüllüleri tanıtmalı ve motive etmeli;Esnek gönüllü seçenekleri sunmalı","Az etkili","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Kampüs varlığı güçlendirilmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Hiç güvenmiyor","Evet","Çok önemli","Başarısız","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Sosyal medyada paylaşım yapmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Hayır","Bir ev veya çatı figürü (barınma, destek vurgusu ve KİTVAK’ın konukevi projelerine atıfta bulunur)."
"2024/12/11 10:51:30 ÖÖ GMT+3","35-44","Kadın","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Hiç etkili değil","Yönetim sorunları","Daha fazla reklam ve tanıtım yapmalı","Hiç etkili değil","Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Hiç güvenmiyor","Kararsızım","Az önemli","Başarısız","Eğitim;Sağlık","Evet","Tamamen destekliyorum","Kesinlikle evet","Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Hiçbir şey çağrıştırmıyor","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kararsızım","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
"2024/12/11 10:51:45 ÖÖ GMT+3","45-54","Kadın","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Az etkili","Devlet desteği azlığı","İş birliği artırma;Dijital katılımı iyileştirilmeli","Az etkili","Dijital katılım iyileştirilmeli","Az güveniyor","Evet","Önemli","Başarısız","İnsan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;Kanser Savaşçıları Derneği","Hayır","Hastaneler veya sağlık kuruluşları","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/11 10:59:39 ÖÖ GMT+3","25-34","Erkek","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Hiç etkili değil","Yönetim sorunları","Liderliği ve yeniliği teşvik etmeli","Hiç etkili değil","Dijital katılım iyileştirilmeli","Hiç güvenmiyor","Evet","Çok önemli","Başarısız","İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Gönüllü olarak çalışmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Kanser Savaşçıları Derneği","Hayır","Hiç duymadım","Evet, ama nerede gördüğümü hatırlamıyorum.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
